Day_Of_Week,Dep_Delay,Arr_Delay,Flight_Duration,Delay_Carrier,Delay_Weather,Delay_NAS,Delay_Security,Delay_LastAircraft,Aicraft_age,LATITUDE,LONGITUDE,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Month,Day,Airline,Tail_Number,Dep_Airport,DepTime_label,Arr_Airport,Distance_type,Manufacturer,Model,Dep_Delay_Tag
4,-4,-16,276,0,0,0,0,0,6,45.58872,-122.5975,21.3,13.9,31.1,0.0,0.0,313.0,11.9,1012.9,6,22,Delta Air Lines Inc,N905DN,PDX,Morning,ATL,Medium Haul <3000Mi,BOEING,737 NG,0
4,54,51,114,0,0,0,0,51,32,41.78598,-87.75242,18.0,12.2,28.3,0.0,0.0,50.0,19.3,1006.5,6,15,Delta Air Lines Inc,N340NW,MDW,Evening,ATL,Short Haul >1500Mi,AIRBUS,A320,1
3,-4,-1,108,0,0,0,0,0,10,39.29761,-94.71391,24.1,20.0,28.3,33.0,0.0,320.0,7.6,1009.1,8,9,Southwest Airlines Co.,N8632A,MCI,Afternoon,AUS,Short Haul >1500Mi,BOEING,737 NG,0
3,36,24,164,19,0,0,0,5,25,32.89595,-97.0372,21.4,18.9,24.4,0.0,0.0,165.0,21.1,1004.9,10,11,American Airlines Inc.,N653AW,DFW,Afternoon,DCA,Short Haul >1500Mi,AIRBUS,A320,1
3,-14,-29,117,0,0,0,0,0,7,32.89595,-97.0372,32.6,26.1,38.3,0.0,0.0,175.0,22.3,1009.7,6,28,Delta Air Lines Inc,N331DN,DFW,Night,ATL,Short Haul >1500Mi,AIRBUS,A321,0
5,-4,0,172,0,0,0,0,0,10,40.63975,-73.77893,4.1,0.6,7.2,9.4,0.0,76.0,12.6,1014.5,3,10,Endeavor Air,N310PQ,JFK,Evening,JAX,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
3,-3,4,174,0,0,0,0,0,11,39.71733,-86.29438,18.9,7.8,25.0,18.1,0.0,215.0,17.7,1009.8,4,5,United Air Lines Inc.,N37471,IND,Afternoon,DEN,Short Haul >1500Mi,BOEING,737 NG,0
2,14,9,105,0,0,0,0,0,18,33.64044,-84.42694,25.6,20.6,31.1,0.0,0.0,322.0,5.0,1015.2,7,11,Southwest Airlines Co.,N253WN,ATL,Afternoon,FLL,Short Haul >1500Mi,BOEING,737 NG,1
6,-2,-15,95,0,0,0,0,0,25,42.21206,-83.34884,12.3,9.4,17.2,7.1,0.0,257.0,13.9,1002.7,4,29,Delta Air Lines Inc,N944AT,DTW,Morning,CLT,Short Haul >1500Mi,BOEING,717,0
1,-2,-1,44,0,0,0,0,0,26,21.31869,-157.92241,24.9,21.1,28.9,0.0,0.0,305.0,7.6,1018.9,1,16,Hawaiian Airlines Inc.,N489HA,HNL,Morning,LIH,Short Haul >1500Mi,BOEING,717,0
2,28,27,132,0,0,27,0,0,2,42.94722,-87.89658,21.9,16.7,28.3,0.5,0.0,322.0,19.8,1012.1,8,29,JetBlue Airways,N3102J,MKE,Afternoon,BOS,Short Haul >1500Mi,AIRBUS,A220,1
1,298,270,120,0,0,0,0,270,5,35.21401,-80.94313,27.0,21.7,31.7,0.0,0.0,354.0,6.8,1016.9,7,17,Spirit Air Lines,N920NK,CLT,Evening,BOS,Short Haul >1500Mi,AIRBUS,A320,1
7,-3,26,164,0,0,26,0,0,23,39.99799,-82.89188,0.0,-2.8,1.7,6.6,0.0,37.0,6.9,1011.6,1,22,Southwest Airlines Co.,N416WN,CMH,Morning,MCO,Short Haul >1500Mi,BOEING,737 NG,0
5,-2,1,243,0,0,0,0,0,8,33.94254,-118.40807,19.9,18.9,22.8,0.0,0.0,250.0,11.9,1014.2,9,15,Southwest Airlines Co.,N8698B,LAX,Afternoon,BNA,Medium Haul <3000Mi,BOEING,737 NG,0
6,-5,-17,299,0,0,0,0,0,16,33.94254,-118.40807,20.1,17.2,23.9,0.0,0.0,247.0,13.3,1013.2,8,26,United Air Lines Inc.,N47414,LAX,Afternoon,IAD,Medium Haul <3000Mi,BOEING,737 NG,0
7,-4,-10,174,0,0,0,0,0,24,40.63975,-73.77893,4.3,0.0,7.8,0.0,0.0,192.0,20.2,1024.1,2,19,Delta Air Lines Inc,N395DN,JFK,Morning,TPA,Short Haul >1500Mi,BOEING,737 NG,0
4,4,-2,261,0,0,0,0,0,5,37.619,-122.37484,14.3,11.7,17.2,0.0,0.0,285.0,21.6,1016.3,11,30,Delta Air Lines Inc,N919DU,SFO,Morning,ATL,Medium Haul <3000Mi,BOEING,737 NG,1
4,2,-10,92,0,0,0,0,0,22,42.21206,-83.34884,11.9,6.1,19.4,0.0,0.0,108.0,14.2,1015.9,4,20,Delta Air Lines Inc,N995AT,DTW,Afternoon,RDU,Short Haul >1500Mi,BOEING,717,1
7,180,174,121,0,13,0,0,161,30,41.9796,-87.90446,4.5,1.1,8.9,3.0,0.0,5.0,13.7,1013.9,3,26,United Air Lines Inc.,N412UA,ORD,Afternoon,PHL,Short Haul >1500Mi,AIRBUS,A320,1
3,0,20,155,0,0,20,0,0,24,30.48325,-86.5254,31.6,25.9,38.0,0.0,0.0,1.0,9.5,1014.7,8,23,American Airlines Inc.,N738US,VPS,Afternoon,DFW,Short Haul >1500Mi,AIRBUS,A319,0
1,-5,-31,111,0,0,0,0,0,2,38.17439,-85.736,10.8,8.9,13.3,5.8,0.0,76.0,9.7,1016.7,11,20,Skywest Airlines Inc.,N311SY,SDF,Morning,MSP,Short Haul >1500Mi,EMBRAER,170/175,0
6,12,0,140,0,0,0,0,0,21,27.39533,-82.55411,25.2,23.9,27.2,0.0,0.0,206.0,18.1,1013.3,3,4,American Airlines Inc.,N771XF,SRQ,Afternoon,PHL,Short Haul >1500Mi,AIRBUS,A319,1
2,-10,-33,145,0,0,0,0,0,8,33.82922,-116.50625,12.2,8.3,17.2,0.0,0.0,348.0,8.0,1011.0,1,17,American Airlines Inc.,N160AN,PSP,Afternoon,DFW,Short Haul >1500Mi,AIRBUS,A321,0
6,-11,-48,159,0,0,0,0,0,22,38.85208,-77.03772,24.5,21.1,31.1,19.8,0.0,116.0,9.7,1017.6,9,9,PSA Airlines,N507AE,DCA,Morning,MCI,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
2,32,36,89,0,0,4,0,32,18,37.72129,-122.22072,14.7,12.2,19.4,0.0,0.0,232.0,22.3,1011.7,5,23,Southwest Airlines Co.,N237WN,OAK,Evening,LAS,Short Haul >1500Mi,BOEING,737 NG,1
1,-3,-16,80,0,0,0,0,0,21,43.11119,-76.10631,20.3,10.0,30.6,0.0,0.0,5.0,6.5,1016.1,5,29,Delta Air Lines Inc,N360NB,SYR,Morning,DTW,Short Haul >1500Mi,AIRBUS,A319,0
1,2,17,231,0,0,17,0,0,25,47.44898,-122.30931,26.2,14.4,31.1,3.0,0.0,329.0,13.0,1015.2,5,15,Alaska Airlines Inc.,N613AS,SEA,Afternoon,ANC,Short Haul >1500Mi,BOEING,737 NG,1
1,-7,-21,95,0,0,0,0,0,23,40.78839,-111.97777,6.6,1.7,11.1,6.1,0.0,170.0,15.5,1006.0,3,20,Delta Air Lines Inc,N326NB,SLC,Morning,SMF,Short Haul >1500Mi,AIRBUS,A319,0
3,16,15,128,0,0,15,0,0,25,35.21401,-80.94313,8.6,1.7,16.7,0.0,0.0,16.0,7.6,1018.4,1,11,American Airlines Inc.,N103US,CLT,Evening,PWM,Short Haul >1500Mi,AIRBUS,A320,1
1,-8,11,374,0,0,0,0,0,6,45.58872,-122.5975,7.8,0.0,16.1,0.0,0.0,10.0,12.6,1025.5,10,30,Hawaiian Airlines Inc.,N209HA,PDX,Morning,OGG,Medium Haul <3000Mi,AIRBUS,A321,0
4,-3,-4,263,0,0,0,0,0,10,33.94254,-118.40807,16.3,15.0,18.3,0.3,0.0,202.0,14.0,1012.3,5,25,Delta Air Lines Inc,N826DN,LAX,Afternoon,DTW,Medium Haul <3000Mi,BOEING,737 NG,0
3,-6,-27,61,0,0,0,0,0,19,44.88055,-93.21692,23.4,17.2,31.1,0.0,0.0,223.0,19.4,1004.4,4,12,Skywest Airlines Inc.,N931EV,MSP,Afternoon,ABR,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
2,192,196,68,196,0,0,0,0,21,41.9796,-87.90446,24.5,20.6,29.4,0.0,0.0,207.0,11.2,1020.8,8,1,Skywest Airlines Inc.,N954SW,ORD,Morning,MLI,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,1
2,-2,-10,200,0,0,0,0,0,7,32.89595,-97.0372,15.4,7.8,23.3,0.0,0.0,196.0,7.8,1019.3,10,17,American Airlines Inc.,N339PL,DFW,Morning,LGA,Short Haul >1500Mi,BOEING,737 NG,0
4,8,1,111,0,0,0,0,0,7,33.64044,-84.42694,17.1,10.6,23.3,1.2,0.0,286.0,7.4,1016.3,2,16,American Airlines Inc.,N901AA,ATL,Morning,MIA,Short Haul >1500Mi,AIRBUS,A321,1
5,24,29,114,0,11,5,0,13,4,39.87195,-75.24114,19.3,17.2,22.8,14.2,0.0,62.0,11.2,1015.3,6,23,Frontier Airlines Inc.,N367FR,PHL,Afternoon,CLT,Short Haul >1500Mi,AIRBUS,A320,1
5,-3,-9,93,0,0,0,0,0,7,40.49147,-80.23287,27.2,22.2,32.8,0.3,0.0,226.0,10.4,1016.8,7,28,Delta Air Lines Inc,N881DN,PIT,Morning,ATL,Short Haul >1500Mi,BOEING,737 NG,0
7,-9,-35,208,0,0,0,0,0,11,39.29761,-94.71391,23.7,16.7,30.6,3.8,0.0,111.0,9.4,1019.6,5,14,Alaska Airlines Inc.,N413AS,MCI,Morning,SEA,Short Haul >1500Mi,BOEING,737 NG,0
